,sentence,valence,arousal
14437,"나는, 책 안에 핸드폰 숨겨 놓고 게임하는 그런 학생이야.",0.0,-1.0
14440,"나는 그런 종류의 학생이 아니야, 할머니.",0.0,0.0
14441,참… 너랑 윤성이랑 반반씩 섞으면 참 좋을 텐데.,0.0,0.0
14442,그치? 그니까 있는 그대로의 우리한테 잘해줘.,0.0,0.0
14444,"그 맛에 먹는거야. 너가 초딩 입맛이라 그렇지, 이거 되게 비싼 차야.",1.0,1.0
14446,국화차라니까. 국화차 맛이지 뭐.,0.0,-1.0
14448,"비싼 차야. 이거 꽃 따서, 씻고, 덖은 후에, 말리고 하는게 얼마나 일인 줄 알아?",-1.0,0.0
14450,먹고 난리나면 책임 질 거야?,-1.0,0.0
14452,"나 꽃가루 알레르기 있어, 할머니.",-1.0,0.0
14454,"그런건 아니지만은… 아유, 걔는 왜 꼭 글을 써도 그런 것만 쓰는 지 몰라.",-1.0,0.0
14457,너 불륜이 뭔 줄은 알고 말해?,-1.0,0.0
14460,놀라는 거 보니까 맞나 보네.,0.0,-1.0
14465,"어! 내 친구들 할머니들은 커피를 안 좋아해서, 카페도 안 데리고 간대.",0.0,-1.0
14466,"갑자기가 아니라, 그냥 생각해보니까 그래서 말하는 거야.",0.0,-1.0
14468,"에스프레소 마시고, 선글라스 쓰면 젊은 거야?",0.0,-1.0
14469,"할머니는 커피도 꼭 에스프레소로 마시고, 선글라스도 화려한 거 쓰고, 사이다보다 탄산수 좋아하고, 국수보다 파스타 좋아하고… 그렇잖아.",0.0,-1.0
14470,"허구헌날 야구 때문에 제 명에 못산다고 하면서, 경기 마다 빠지지 않고 가는거보면… 네 아빠도 진짜 제정신 아니야.",-1.0,1.0
14472,너가 할머니 젊게 사는지 아닌지 어떻게 알아?,0.0,-1.0
14474,근데… 나 이번 달 용돈 다 써서 하나도 없어.,-1.0,-1.0
14476,아닌데? 나는 그런 적 없는데?,-1.0,0.0
14477,맞잖아. 뭘 아니야. 지난번에 우리집 와서 식혜 가져간 걔 구나?,0.0,-1.0
14479,아니. 그런 건 아닌데… 갑자기 웬 향수야?,0.0,-1.0
14484,아빠~ 아빠 집에 인터넷 가입 다 했어?,0.0,-1.0
14485,이 나이 먹으면 다 그래. 그리고 요즘 통신사 정책이 너무 어려워서...솔직히 나이 든 사람들은 알아듣지도 못해. 무슨 번호이동이 어쩌고 하는거.. 외계인이나 알아듣지.,-1.0,0.0
14486,인터넷? 그거 텔레비전이랑 같이 연동되는거 아니야?,0.0,-1.0
14487,와.. 아빠같이 꼼꼼한 사람이 가물가물하다고 하니까 너무 적응 안된다.,-1.0,0.0
14488,아니~ 저번에 지원금 받는다고 통신사 바꾸기로 했잖아.,0.0,-1.0
14489,응.. 이것도 벌써 3년도 넘게 썼으니까.. 바꾸긴 해야지.,0.0,-1.0
14490,우리 스마트폰 쓰기 전에 011 번호였을때. 그 때 썼던 전화기를 2g라고 하거든?,0.0,-1.0
14491,하.. 그냥... 무슨 소린지는 모르겠는데.. 또 안 들을 수도 없고..에휴.. 어떻게 더 쉽게 알 수 있는 법은 없나?,-1.0,0.0
14492,우리 원래 인터넷 안되는 그냥 피처폰을 2G 폰이라고 했었잖아~ 기억나?,0.0,-1.0
14493,응. 원래는 그런데. 이번에 5G 모델들을 통신사마다 엄청 싸게 풀고 있거든.,0.0,-1.0
14494,2G....? 그건 또 뭐냐?,0.0,-1.0
14495,아빠~ 핸드폰 바꿀 때 됐지?,0.0,-1.0
14497,그렇지! 그래서 신형 모델인데도 저렴하게 파는거야.,0.0,-1.0
14498,아.. 첫 스마트폰에.. 그런 모양이 있었던거 같아!,0.0,-1.0
14499,응. 그렇지. 통신망이 점점 업그레이드 되어가고 있는거야. 통신사들은 새로운 기술을 도입해서 자기들 통신망에 적용하려고 하는거고.,0.0,-1.0
14500,응. 우리가 처음 스마트폰 썼을때. 핸드폰 상단에 3g 라고 써있었던거.. 기억나?,0.0,-1.0
14501,아~ 그렇구나. 그럼 지금 lte에서 다음 꺼로 넘어가는거네?,0.0,-1.0
14502,근데 지금 우리가 쓰고 있는게 lte 잖아.,0.0,-1.0
14503,그러면.. 5g 모델을 싸게 팔아서 시장을 선두하려고 하는거구나?,0.0,-1.0
14504,아 그냥 숫자가 늘어나는거네?,0.0,-1.0
14505,오늘 뉴스를 보는데.. 통 알아들을 수가 있어야지.이러다가 바보되겠다 싶어서.. 좀 자세히 얘기해줄래?,0.0,0.0
14506,응. 엘티이? 그건 뭔지 알아.,0.0,0.0
14507,"음... 일단 2g 에서 3g로, 거기서 또 4g로, 이제 5g 로 넘어가고 있는거야.",0.0,-1.0
14508,그 lte 라는게 4g 를 뜻하는거야.,0.0,-1.0
14509,지은아. 그럼 나 핸드폰 바꿀까?,0.0,0.0
14510,뭐... 크게는 거의 50만원씩도 차이가 나.,-1.0,-1.0
14511,뭐? 그럼 핸드폰 대리점 마다 가격이 다 달라? 얼마나 다른데?,0.0,-1.0
14512,"음.. 그렇지.. 지금 지원금이 예를 들어 30만원이 나오는 핸드폰이 있는데. 아무 것도 모르는 중년 남자가 왔다고 생각을 해봐. 그럼 30만원을 자기들이 먹고, 핸드폰은 비싸게 파는거지.",-1.0,-1.0
14513,아휴.. 진짜 무서운 세상이다. 아니 정찰제가 아예 안되고 있는거네?,-1.0,0.0
14514,응. 그러자. 그럼 내가 대리점 알아봐드릴까요?,0.0,-1.0
14515,응. 대리점? 아무 대리점이나 가면 안되는거야? 집 앞에도 많던데..,0.0,0.0
14516,이번에 핸드폰 바꾸는 김에.. 그럼 집에 있는 인터넷이랑 텔레비전도 싹 바꿔버리면 좋겠는데...,0.0,0.0
14517,아~ 그럼 번호 이동이랑은 다른거네?,0.0,-1.0
14518,아.. 그럼 번호 이동은 기계값이 기기 변경보다 싸겠구나.,0.0,-1.0
14519,응. 번호 이동은 통신사를 바꾸는 대신 좀더 저렴하게 기계값을 내는거지. 보통은 그래.,0.0,-1.0
14520,기기 변경이라는 건.. 보통 기변이라고도 하는데. 통신사는 그대로 두고 핸드폰 기계만 바꾸는 걸 기기변경이라고 하는거야.,0.0,-1.0
14521,응. 사실 그래서 인터넷을 한 회사에서 오래 썼으면 핸드폰도 기기 변경을 많이 하게 되지.,0.0,-1.0
14523,그래도 1년이나 갭이 있는거네?,0.0,-1.0
14524,그렇지. 근데 내가 형철이 서재에 들어갔다? 근데 책보다 카메라가 더 많은거야.,0.0,-1.0
14525,나 카메라를 하나를 사려고 하는데.. 추천 좀 해줄래?,0.0,0.0
14526,그러니까 말이야. 카메라 수집이 취미래.,0.0,-1.0
14527,맞아.. 그것도 다 사람들이 취미 생활이 없어서 그런거 같아.,-1.0,0.0
14528,버는 돈이.. 뭐 우리는 상상할 수도 없는 정도인가봐.,0.0,-1.0
14529,하긴 우리 나라 사람들이 워낙 영화를 좋아하잖아.,0.0,-1.0
14530,근데 내가 어제 형철이네 집들이 다녀왔거든.,0.0,-1.0
14531,아 그.. 형철이 아저씨..? 영화 만들고 그런다는 분?,0.0,-1.0
14532,음.. 그렇긴 한데… 생각해보니까.. 내가 취미가 하나도 없더라고.. 평생 일만 했지..내가 뭘 좋아하는지 잘 모르겠어.,-1.0,0.0
14533,와.. 그 아저씨 저번에도 영화 만들고 이사가지 않았어?,0.0,-1.0
14534,응. 아무튼 그래서 더 좋은 집으로 이사를 갔구나.,0.0,-1.0
14535,그러게… 극장주 입장에서는 자기 투자했거나 제작된 영화를 밀어주기 마련이니까.,0.0,-1.0
14536,아빠는.. 우리 나라 영화 관람료가 비싸다고 생각해~ 싸다고 생각해?,0.0,-1.0
14537,근데 일단 임금이 다르니까.. 절대 비교는 불가능하지. 그래도 영화 시설에 비해 우리 나라 티켓 가격은 적당한거 같기도 하고…,0.0,0.0
14538,음… 원래는 비싸다고 생각했는데.. 해외에 나가보니까 싼거 같기도 하고.. 작년에 미국에 출장 갔을 때 시간이 비어서 극장에 갔었거든? 근데 우리 나라 돈으로 거의 만5천원 정도는 하더라고.,0.0,-1.0
14540,우리 나라는 좀.. 여러모로 거대 기업들이 몸을 부풀리기가 쉬운 환경인 거 같아. 그게 참 아쉬워.,-1.0,0.0
14542,영화도 그렇고.. 예술계에 종사하면서 밥 벌어 먹고 산다는건..정말 하늘의 별 따기 인거 같아.,-1.0,0.0
14543,이번에 명문대에서 대학원생 하나가 투서 올린 거 뉴스에서 봤어?,0.0,-1.0
14544,글쎄.. 자대생이 아니라고 그렇게 왕따를 시켰대.,-1.0,-1.0
14545,찢어지다 뿐이겠어? 힘들게 공부 시키고 있는데.. 학교에서 왕따 당하는 줄 알면.. 정말 억장이 무너질거야.,-1.0,1.0
14546,응… 공부를 하면 그래도 시험이 있고.. 여러 관문이 있잖아. 그런데 글을 쓰거나 그림을 그리는 일은.. 그 기준도 너무 추상적이고.. 거기다가 학교도 좋은 학교 나와야 되고..,-1.0,0.0
14547,공개적으로 망신을 준다거나 부당한 잡무를 시키거나.. 그랬겠지.,-1.0,-1.0
14548,그러니까! 아니 교수들까지 그렇게 차별을 했대. 학부 때부터 봤던 애들을 더 편애하고..,-1.0,0.0
14549,그럴 거면 왜 뽑았대? 그냥 학부 출신 애들로 꽉 채웠으면 됐잖아.,-1.0,0.0
14550,뭐? 아니 어린 애들도 아니고… 아.. 어린 애들도 그러면 안되는건데..,-1.0,-1.0
14551,맞아.. 그런 가해자들은 패턴이 아주 비슷하더라.,-1.0,-1.0
14552,나는… 학부를 한국에서 다니고 바로 해외로 갔으니까.. 한국 학교에서 벌어지는 그런 일들은 없었어.,0.0,-1.0
14553,그렇게까지 해서라도 한국에서 벗어나려는 데에는 이유가 또 있겠지?,0.0,-1.0
14554,근데 영주권이 없는 애들은 한국으로 돌아올 수밖에 없잖아.,-1.0,-1.0
14555,맞아.. 한국에서 살기 힘들면 거기 가서도 똑같지…,-1.0,0.0
14556,응.. 이민자들이 합법적으로 보호 받았으면 좋겠다.해외에서 얼마나 서럽고 힘들겠어.,-1.0,0.0
14557,응.. 비교적 미국 대학교는 입학이 쉽고.. 물론 어렵지만.. 한국 대학과 비교해서는 쉽지..,0.0,-1.0
14558,맞아.. 다들 현지에서 인턴까지 하고도 다시 한국에 돌아오더라고..,-1.0,-1.0
14559,아.. 하긴.. 보통 대학을 해외대 다니고 돌아와서 한국 인맥을 만들려고 한국 대학원을 가는 경우가 많으니까.,0.0,-1.0
14560,그래서 내 친구네도 아예 투자 이민을 갔어. 걔가 중학교 때 이민을 갔는데.. 영주권 받는데까지 15년이 걸렸대.,-1.0,-1.0
14561,회사에서도 영주권 있는 내이티브를 고용하고 싶지.. 비자 문제 지원해주면서까지 외국인을 고용하려고 하지 않아.,-1.0,-1.0
14562,아빠는 대학원 다닐 때 어땠어?,0.0,-1.0
14563,나도 어릴 때 해보고 싶은 거 다 해보고 살아서진로 정할 때 정말 수월했던거 같아. 내 주변에 친구들은 대학 졸업 하고 회사까지 들어갔다가 갑자기 방황하기도 하더라고. 이게 내가 원하는 인생이 맞나.. 내가 하는 일이 내가 하고 싶은 일이 맞나.. 그런 고민들이 30대 되서 생기는거지...,-1.0,0.0
14564,아빠. 그래서 카메라 수집해보겠다는 생각은 여전한거야?,0.0,-1.0
14565,아빠가 나 어릴 때부터 항상 그랬잖아. 내가 관심 갖고 좋아하는 것들.. 한 번도 빠짐없이 다 해보게 해줬잖아. 그게 커보니까 살아가는데 정말 큰 도움이 되더라고.,1.0,0.0
14566,응.. 수명이 늘어난 만큼 많은 것들이 바뀐거 같아..,0.0,-1.0
14567,정말? 내가 무슨 복으로 너 같은 딸래미를 데리고 있을까~,1.0,1.0
14569,그래. 나도 뉴스를 봤는데.. 아기가 있는 집에서는 예민해지겠더라.,-1.0,1.0
14570,아무 집이나 들어가서. 목마른데 물 좀 주세요~ 그러면 다들 줬어.,0.0,-1.0
14571,그럼 목 마를 땐 어떻게 했어?,0.0,-1.0
14572,내 친구 중에 나이들어 뒤늦게 성인 아토피가 생긴 애가 있는데.. 너무 힘들어하더라.. 팔 다리 접히는 부분 있지? 그 쪽 아주 까매질정도로 긁더라고. 피딱지가 지는 경우도 있고…,-1.0,1.0
14573,응.. 녹물이 가볍게는 설사를 유발하고.. 특히 어린 아이들한테는 아토피 같은 피부 질환도 유발하니까..,-1.0,1.0
14574,충격적이지? 근데 그 땐 그랬어.,0.0,-1.0
14576,일단 그럼 그 필터를 사보자. 마실 물과도 연관이 있으니까.. 빨리 확인해볼 수록 좋을거 같아.,0.0,0.0
14577,눈에 바로 보이니까 녹물이 있는지 확인할 수 있겠구나. 우리도 그걸 하나 살까?,0.0,0.0
14578,아 그렇구나. 그건 어떻게 쓰는거야?,0.0,-1.0
14579,그러게… 지금 눈으로 보기엔 깨끗한 물처럼 보여도.. 실제론 안 그럴 수도 있으니까.,-1.0,0.0
14580,샤워기 필터? 그건 어떻게 쓰는거야?,0.0,-1.0
14581,맞아. 우리 눈엔 안 보여도 분명 뭔가 안 좋은게 들어있을거 같아..,-1.0,0.0
14582,이번에 경기도 인근에서 녹물 사태 때문에 유명해진 필터 제품이 있대요.,0.0,-1.0
14583,맞아.. 내 친구는 그래서 1인 가구인데도 정수기를 사더라구.. 한달에 2리터짜리 페트병이 최소 20개 이상 나오니까.. 1년이면 그게 몇 개야. 10년이면 말 할 것도 없고.,-1.0,-1.0
14584,요즘 그냥 생수 사다 마시는 사람들이 많던데. 정수기랑 가격 차이가 많이 나나?,0.0,-1.0
14585,"생수는 2리터 짜리 6개에.. 이것도 어떤 브랜드냐에 따라서 많이 다른데.. 보통 만원에서 만 3천원 정도? 사실 1-2인 가구인 경우, 생수를 사다 마시는게 나을 수도 있지.",0.0,-1.0
14586,아무리 텀블러를 많이 쓰면 뭐해. 그런 식으로 페트병이 소비되면.. 어휴. 너무 끔찍한 일이다.,-1.0,1.0
14587,대가족은 확실히 정수기 렌트가 더 낫겠구나.,0.0,-1.0
14588,플라스틱 만큼 편리하면서 환경에도 좋은.. 뭔가가 개발 되면 참 좋을텐데.,0.0,0.0
14590,정수기는 요즘 기계에 따라서… 렌탈 해서 마시는 그런 정수기 회사에 가입하면.. 한달에 3-4만원은 나가거든요. 근데 그런 회사에 가입하면 아무래도 필터 교체나 그런거 관리해주니까.. 그냥 가정에서 기계를 사서 쓰는거랑 다르긴 하지.,0.0,-1.0
14591,아무래도 그렇죠. 요즘 1인 가구가 많아져서 생수 소비량도 많이 졌대요.,0.0,-1.0
14593,근데 아빠. 먹는 샘물 과 혼합 음료 의 차이 알아?,0.0,-1.0
14594,응. 음료수. 그러니까 물이라고 하긴 좀 어려운 거지. 근데 요즘 가끔 저렴한 생수 중에 품목명이 혼합 음료 라고 적힌 것들이 있어.,0.0,-1.0
14595,와… 나는 전혀 몰랐어. 그럼 생수를 살 때 꼭 품목명을 확인해야겠구나.,-1.0,0.0
14596,아.. 제품에 적힌 품목명을 말하는거구나. 근데.. 혼합 음료는 뭐야? 음료수?,0.0,-1.0
14597,음.. 먹는 샘물은 우리가 흔히 마시는 생수. 우리가 물 이라고 생각하는걸 먹는 샘물이라고 해.,0.0,-1.0
14598,근데 아빠 가끔 커피 마시지 않나?,0.0,-1.0
14599,그게 나라마다 다르다는게 참 신기하지?,0.0,-1.0
14600,응. 안그래도 택배 찾으러 경비실 가려고 했으니까. 집 앞에서 사다줄게. 카페 모카 괜찮지?,0.0,0.0
14601,너무 신기하다.. 나는 두세 잔 마셔도 거뜬해. 아무렇지도 않아.,1.0,1.0
14602,맞아. 예전에 미국 놀러갔을 때 아틀란타에 간 적이 있었거든? 근데 그때 깜짝 놀란게… 하늘이 너무 가까운거야. 그냥 평지를 달리고 있는데도.. 구름이 엄청 가깝게 느껴졌어.,1.0,1.0
14603,음… 오늘은 바닐라 라떼로 할래. 아빠 너무너무 고마워! 월요일에 퇴근길에 맛있는거 사올게!,1.0,1.0
14604,응. 너무 신기하네.. 너는 엄마 닮았나 보다. 나는 커피를 조금만 마셔도 하루 종일 울렁거리고 가슴이 두근거려.,-1.0,0.0
14605,근데 너는 커피를 마시고도 바로 낮잠을 잘 수 있어?,0.0,-1.0
14606,그렇긴 한데.. 아무튼 아빠가 커피 사다 줄까? 달달한거 마시고 좀 잘래? 너 평일 내내 힘들었잖아.,0.0,0.0
14607,나도 내 차에 항상 차량용 방향제를 두곤 했는데.. 몇 년 전부터는 아예 안 둬. 그냥 가끔 환기하는게 낫지. 밀폐 된 공간에 방향제를 둔다는게 너무 안 좋게 느껴지더라구…,-1.0,-1.0
14608,맞아.. 어떡하지? 방향제라도 사올까요?,0.0,-1.0
14609,아.. 어제부터 화장실에서 하수구 냄새 같은게 올라오더라고.. 미치겠어 진짜.. 난 지금 집에 오래 있었어서 그런지 이 냄새에 좀 적응이 됐는데. 아까 퇴근하고 딱 들어오자마자 온 집 안에 이 냄새가 나서 너무 놀랐잖아.,-1.0,1.0
14610,모과? 그냥 생 모과를 둬도 냄새가 많이 나요?,0.0,-1.0
14611,맞아. 난 그래서 저번에 차에 모과를 뒀거든? 근데 향이 아주 오래가고 좋더라.,1.0,1.0
14612,큰 과일 가게 가면 하나씩도 팔거야. 가봐.,0.0,-1.0
14613,응. 차에 그냥 모과를 한 번 둬봐. 그럼 차 전체에 향기도 퍼지고 인위적인 향도 아니고. 굉장히 좋지.,1.0,1.0
14614,계속 이런 냄새가 나면 어떻게 살아? 이게 옷에도 베고 여기저기 냄새가 베서… 나중엔 화장실을 고쳐도 집안에서 냄새가 날텐데..,-1.0,1.0
14615,맞아… 그게 향기를 피우거나.. 향기가 나게하는 물질들이.. 사실은 자연의 꽃 향기를 흉내내는 것에 불과하잖아. 우리 몸에 좋을리가 없지…,-1.0,-1.0
14616,응.. 왜 스님들이 폐병 많이 걸린다고들 하잖아. 그게 다 향을 많이 피워서 그렇대요.,-1.0,0.0
14618,응. 마카롱 엄청 좋아해. 가끔 반차 쓰고 유명한 마카롱 집에 마카롱 사러가는 정도야.,0.0,-1.0
14619,아.. 녹차 다쿠아즈 말씀하시는구나? 양 옆에 녹차맛 나는 과자 있고 샌드위치처럼 그 가운데에 초콜릿 무스 들어있는거?,0.0,-1.0
14620,응. 그래도 정성이지. 니가 사다준건 어디꺼야?,0.0,-1.0
14621,와.. 그정도야? 음.. 그럼 웬만한건 다 드셔보셨겠다.,0.0,0.0
14622,"응 맞아. 그거였어. 이번에 전근가는 분이 군것질 거리를 엄청 좋아하거든. 그 사람 책상에 가보면 온통 쿠키 상자, 쿠키 껍질로 가득해.",0.0,-1.0
14623,그건 그냥 오래된 프랜차이즈 쿠키야. 가격도 적당하고… 한 상자 사다드릴까요?,0.0,-1.0
14624,응 맞아! 색깔이었고 초록색이었고.. 녹차맛이 나는데 가운데에 초콜릿이 들어있었는데..,0.0,-1.0
14625,맞아… 그래서 그 분 남편도 어디 출장만 가면 비싼 과자를 선물하더라고.,0.0,-1.0
14626,무슨 쿠키를 말하는거지? 녹차맛 나던거?,0.0,-1.0
14627,그럼 내가 저번에 아빠 사드린 그 다쿠아즈도 좋아하실거야. 그 분 마카롱도 좋아하시지?,0.0,-1.0
14629,고맙다는 얘기도 안 해도 돼요~,0.0,-1.0
14630,아빠는 꼭 다친 사람한테도 뭐라고 하고. 잔소리가 습관이야. 아파죽겠는데 내가 그런 소리 듣고 싶겠어?,-1.0,1.0
14632,아.. 아빠가 그러니까 내가 더 아픈거 같잖아!,-1.0,1.0
14633,그래. 자나깨나 아빠 잔소리하는 거 듣기 싫어서. 내가 이 나이에 그런 소리를 들어야겠어? 하.. 너무 싫어.,-1.0,1.0
14634,으휴 내가 이래서 집을 나간 거야.,-1.0,1.0
14636,뭐? 나 때문에 지금 집을 나갔다는 거야?,-1.0,0.0
14637,어. 집에 오다가 계단에서 다리를 접질린 것 같아.,-1.0,0.0
14638,"똑같지 뭐. 아줌마들 만나러 쇼핑 다니고, 아니면 동창이랍시고 또 모임 있다고 나가고, 너희 이모들 만나러 놀러 다니고.",0.0,-1.0
14639,아빠. 이렇게 대화를 하는 연습을 자꾸 해야 지금부터라도 친구를 만들지. 좀 참아봐.,0.0,0.0
14643,안그래도 요즘 돈 필요하다고 노래를 부르던데. 엄마 몰래 용돈좀 줘야겠네.,0.0,0.0
14644,글쎄? 공부하느라 그러는 거 아니야?,0.0,-1.0
14645,아니 그냥. 궁금하잖아. 어떤 여자친구를 만나는 지.,0.0,0.0
14646,"아니, 밤마다 늦게 들어오고, 주말에는 뻔질나게 약속 있다고 나가고. 아빠는 뭔가 감이 안와?",0.0,-1.0
14647,아니 걔 맨날 씻지도 않고 잠이나 퍼자던 애가 요즘 들어 부쩍 위생에 신경을 쓰는 것 같기도 하고.,0.0,-1.0
14648,여자친구? 가만보자… 그럴 수도 있겠는데?,0.0,0.0
14650,아무래도 걔가 여자친구가 생긴 것 같단 말이지.,0.0,-1.0
14652,2시간…? 우리 그냥... 시켜먹으면 안돼…?,0.0,0.0
14654,"요 앞, 문화센터에. 너네 엄마는 중국어 배우고 아빠는 같은 시간대에 요리교실 있어서 다니기 시작했어.",0.0,-1.0
14658,아냐아냐 축하해 우리 딸! 우리 딸이 최고네!,1.0,1.0
14663,모르겠어. 그냥 궁금한가 봐. 그리고 명절 같이 쇠면서 서로 알아가자고 그러더라.,0.0,-1.0
14664,뭐 없지. 요즘 친척들도 거의 안 모이고. 차례만 간단히 지내고 다같이 외식이나 하자.,0.0,0.0
14665,"결혼얘기가 나온 것도 아닌데 며느리처럼 생각해서 불러다 일 시키고 그런 거, 아빠는 못 본다.",-1.0,1.0
14667,아빠 이번 추석에 우리 뭐 없지?,0.0,-1.0
14668,아빠 그럼 우리 뭐 먹으러 갈 거야?,0.0,-1.0
14669,결혼하면 어차피 하게 되는 일 아니야?,0.0,-1.0
14670,세상에나… 아.. 나도 운동을 좀 해야겠다. 요가나 필라테스를 끊어볼까?,0.0,0.0
14671,술을 줄여야지 술 마시려고 운동을 하다니…,-1.0,1.0
14672,아빠랑 수영 다니는 건 어때?,0.0,0.0
14673,사양할게요. 또 잔소리를 들을 거리만 하나 더 생기는거지.,-1.0,1.0
14675,원래 아빠가 배드민턴을 했잖아? 근데 이게 나이가 드니까 무릎이 안 좋더라고. 그래서 종목을 수영으로 바꿨어.,0.0,-1.0
14677,수영? 아빠 수영 다녀? 왜 난 몰랐지?,0.0,0.0
14678,그래서. 무슨 운동을 하는데?,0.0,-1.0
14680,으이그 너 늦잠 자려고 그러는거지?,-1.0,-1.0
14685,"내가 듣기로는 그게 아니던데. 그리고 아빠, 아플 때는 사람을 좀 달래주고 그래야지, 그냥 무작정 비난만 하면 얼마나 서럽고 서운하겠어. 안 그래?",-1.0,1.0
14686,그래서 그냥... 좀 기다려보면 나을 걸 왜 쓸데없는 검사를 받냐고 했지.,0.0,-1.0
14687,아빠. 엄마랑은 왜 또 싸운 거야?,-1.0,0.0
14690,그래. 우리 분리수거 통이 좀 무거워서.. 다른 사람들은 비닐이나 천 재질로 된 용기를 쓰기도 하던데. 우리도 바꿔볼까?,0.0,0.0
14691,응.. 그래서 나도 오늘 두 번 왔다갔다 하면서 버렸어. 혼자 들고 나가기 진짜 힘들더라. 이젠 같이 해야겠어.,0.0,0.0
14692,목요일이면 분리수거 배출하는 날 아니야?,0.0,-1.0
14693,"다음엔 나도 그래야겠다. 우리 집에 안 쓰고 모아둔 젓가락, 숟가락이 엄청 많아.",0.0,-1.0
14695,아. 그거 내가 퇴근하자마자 다 했어. 지난 주에 아빠가 했잖아.,0.0,-1.0
14697,"‘자연적으로 분해되는 재질이니, 일반쓰레기로 버려주세요.’ 그렇게 써있더라고.",0.0,0.0
14698,아 이거? 응. 커피 한 잔 사왔어.,0.0,-1.0
14699,아니 친구놈이 한 잔 산다는데. 카페 들어가서 아무것도 안 마실 수도 없고. 마침 이런게 메뉴판에 보이길래 한 잔 사봤지.,0.0,-1.0
14700,응.. 이 카페에서 바나나를 팔더라고.,0.0,-1.0
14701,아 맞아. 바나나 하나씩 낱개 포장해서 파는거 봤어.,0.0,-1.0
14702,나는 디카페인 한 번도 안 마셔봤는데. 어때요?,0.0,-1.0
14704,아. 이거 디카페인 아메리카노야.,0.0,-1.0
14706,3개월? 세상에.. 돈 벌려다가 애 잡겠네 잡겠어.,-1.0,1.0
14707,아이고… 혹시 그래서 머리가 아픈가? 물을 많이 마시지?,-1.0,0.0
14708,응… 공기청정기도 없어서.. 하.. 머리가 너무 아파.,-1.0,1.0
14709,응.. 물은 많이 마시는데… 공기 안 좋은데서 하루 몇 시간 이상씩 있는게. 진짜 안 좋긴 한거 같아. 몸이 좀 안 좋아지는거 같아.,-1.0,1.0
14711,응.. 지하실이라고 디퓨저랑 향초를 갖다 놨는데.. 그래서 머리가 더 아픈거 같아.,-1.0,1.0
14712,그러게… 물을 많이 마셔봤어? 환기는 시켰고?,-1.0,0.0
14713,요즘 외근 나가는 곳이 지하실이라서 그런가… 너무 머리가 아파.,-1.0,1.0
14715,아파트 올라오면서 보니까 엘리베이터에 마라톤 홍보 전단지가 붙어져 있더라. 너도 봤니?,0.0,-1.0
14716,마라톤을? 갑자기 아버지가? 에이… 난 좀… 너무 힘들거 같아. 몇 년 전에 뉴스에서도 60대 남성이 마라톤을 뛰다가 갑자기 심정지가 와서 쓰러졌다고… 에이. 난 너무 위험한 거 같아서 솔직히 반대에요.,-1.0,1.0
14717,모든 운동들이 약간씩 중독성이 있으니까.. 그래도 좀.. 고민해봐야겠다.,0.0,0.0
14718,네. 그래도 신중하게 생각해서 결정하세요. 난 너무 걱정되서…,-1.0,0.0
14719,그래? 나이 든 사람들은 좀 위험하려나.. 근데 내가 너보다 건강하지 않니 솔직히.. 운동도 내가 더 자주 하잖아.,1.0,1.0
14720,응. 여기 구청에서 주최하는 마라톤인가봐. 아마추어 마라톤. 10키로만 달리면 된대.,0.0,-1.0
14721,10키로면.. 몸 관리 잘 한 일반인들도 한 번 달려볼만 하겠구나.,0.0,-1.0
14722,응. 나도 나가 볼까? 어떻게 생각해?,0.0,0.0
14723,진수가 무릎이 나갔다고 연락이 왔어.,-1.0,1.0
14724,너무 신기하다. 성인 남성들은 헬스장에서 그렇게 친해질 수도 있구나.,0.0,0.0
14725,맞아. 내가 애초에 운동하다가 헬스장에서 진수를 만난거거든.,0.0,-1.0
14726,"그래서 아버지, 그 마라톤 나가기로 하신거에요?",0.0,-1.0
14727,마라톤? 그 구청에서 한다는거? 어휴.. 아직 고민 중이야.,0.0,-1.0
14728,그렇겠지? 좀 더 고민해봐야겠다…,0.0,-1.0
14729,나는 저번에 아빠가 그 진수 아저씨 얘기해주고 나니까… 안 나갔으면 좋겠다 싶어.,-1.0,0.0
14730,예민해 보이니까 예민하다고 하지…아빠가 이런 말도 못하면 다 큰 딸 어떻게 데리고 사냐?,-1.0,0.0
14731,뭐? 내가 예민하다고? 진짜 아빠 오늘 나한테 왜 그래?!,-1.0,1.0
14732,"하….. 진짜…. 내가 치사해서 나간다. 아빠가 그렇게 생각하고 있었다면, 나도 더이상 이 집에서 살고 싶지 않아!",-1.0,1.0
14733,아빠… 그게 무슨 소리야…?  나 진짜 화가 나려고 해…,-1.0,1.0
14734," 아니 내가 지금 요즘 경기가 어렵고, 구직난인거 몰라서 그래? 아빠는 어떻게 직접 다녀보지도 않고 그렇게 쉽게 얘기할 수가 있어? 아빠 그럼 그동안 내가 집에 와서 피곤하다, 힘들다 얘기할 때 속으로는 그런 생각하고 있었던거야? 진짜 너무 화가 난다..!",-1.0,1.0
14735,너는 그래도 회사가 일 하는거에 비해 돈을 많이 주는거 같아.,0.0,-1.0
14736,그래도.. 너 독립하면 그 때부터 돈이 얼마나 새는 줄 알아? 자리 잡을 때까지 그냥 엄마 아빠랑 살기로 한거 아니었어?,-1.0,0.0
